Country,Year,Gini,Gini Change,S80/20,S80S20 Change,GDP,GDP Growth ,Government Expenditure into Education,Government Expenditure into Health,Government Expenditure into Social Protection,Foreign Direct Investment Net Inflow - Million Units,Net Trade in Goods&Services,Unemployment Rate per % of Labour Force,Tertiary Education,Education Attainment 30-34 Year Olds,Tertiary Education Attainment Change
Austria,1995,27,,,,2.41E+11,2.667983531,,,,1825089897,,4.349999905,,,
Austria,1996,26,-0.037037037,,,2.37E+11,2.349533852,,,,4323515257,,5.28000021,,,
Austria,1997,25,-0.038461538,,,2.13E+11,2.09359939,,,,2668974480,,5.150000095,,,
Austria,1998,24,-0.04,,,2.18E+11,3.581425815,,,,4571855469,,5.519999981,,,
Austria,1999,26,0.083333333,,,2.17E+11,3.556331247,,,,2974499988,,4.699999809,,,
Austria,2000,24,-0.076923077,,,1.97E+11,3.375722147,,,,8501013451,,4.690000057,,,
Austria,2001,24,0,,,1.97E+11,1.267168189,,,,5689434546,,4.010000229,,,
Austria,2002,,,,,2.13E+11,1.651553922,,,,138346430.8,,4.849999905,,,
Austria,2003,27.4,,,,2.62E+11,0.941470921,,,,6195021861,,4.78000021,,,
Austria,2004,25.8,-0.058394161,,,3.01E+11,2.735120222,,,,3183649650,,5.829999924,,,
Austria,2005,26.3,0.019379845,3.81,,3.16E+11,2.244065325,4.8,7.4,20.2,81096089418,10094027382,5.630000114,,20.7,
Austria,2006,25.3,-0.038022814,3.66,-0.039370079,3.36E+11,3.454041836,4.8,7.3,19.9,10500457158,13594759430,5.239999771,,21.1,0.019323671
Austria,2007,26.2,0.035573123,3.77,0.030054645,3.89E+11,3.727415301,4.7,7.4,19.4,68865787583,18758629628,4.860000134,63.0472908,20.9,-0.009478673
Austria,2008,27.7,0.057251908,4.19,0.111405836,4.30E+11,1.460423676,4.8,7.5,19.6,6301143682,20361565741,4.130000114,65.88690186,21.9,0.04784689
Austria,2009,27.5,-0.007220217,4.15,-0.009546539,4.00E+11,-3.764578178,5.1,7.8,21.2,14300064389,14219475613,5.300000191,68.11264801,23.4,0.068493151
Austria,2010,28.3,0.029090909,4.34,0.045783133,3.92E+11,1.837093677,5.1,7.9,21.4,-22007325156,12134112746,4.820000172,75.6237793,23.4,0
Austria,2011,27.4,-0.03180212,4.12,-0.050691244,4.31E+11,2.922797284,5,7.7,20.7,22983942932,9636411470,4.559999943,78.49945068,23.6,0.008547009
Austria,2012,27.6,0.00729927,4.2,0.019417476,4.09E+11,0.680445577,5,7.7,20.9,5218620113,9742491014,4.869999886,78.93891144,26.1,0.105932203
Austria,2013,27,-0.02173913,4.11,-0.021428571,4.30E+11,0.025504712,5,7.8,21.3,451107665.2,12196360239,5.340000153,79.65540314,27.1,0.038314176
Austria,2014,27.6,0.022222222,4.13,0.00486618,4.42E+11,0.661272849,4.9,7.9,21.5,1712175274,14453038204,5.619999886,79.15869904,40,0.47601476
Austria,2015,27.2,-0.014492754,4.05,-0.01937046,3.82E+11,1.014501586,4.9,8.2,21.2,-7975773544,13910547484,5.71999979,80.71942139,38.7,-0.0325
Austria,2016,27.2,0,4.09,0.009876543,3.96E+11,1.989437162,4.9,8.2,21,-28939340169,14629297378,6.010000229,83.45494843,40.1,0.036175711
Austria,2017,27.9,0.025735294,4.29,0.048899756,4.17E+11,2.399587603,4.8,8.2,20.6,13518864836,12470318849,5.5,85.05713654,40.8,0.017456359
Austria,2018,26.8,-0.039426523,4.04,-0.058275058,4.55E+11,2.580120733,4.8,8.2,20.2,-28555242263,14507082251,4.849999905,86.68834686,40.7,-0.00245098
Austria,2019,27.5,0.026119403,4.17,0.032178218,4.45E+11,1.418734272,4.8,8.3,20.1,-8100275768,14365985138,4.489999771,,42.4,0.041769042
Austria,2020,,,,,,,,,,,,5.769999981,,41.6,
Belgium,1995,29,,,,2.88E+11,2.38475728,,,,10688700000,,9.340000153,,,
Belgium,1996,28,-0.034482759,,,2.79E+11,1.32145093,,,,14063900000,,9.479999542,,,
Belgium,1997,27,-0.035714286,,,2.53E+11,3.79365763,,,,11998300000,,8.960000038,,,
Belgium,1998,27,0,,,2.59E+11,1.961808272,,,,22690500000,,9.319999695,,,
Belgium,1999,29,0.074074074,,,2.58E+11,3.542743464,,,,1.20E+11,,8.649999619,,,
Belgium,2000,30,0.034482759,,,2.36E+11,3.716679384,,,,88738714000,,6.590000153,,,
Belgium,2001,28,-0.066666667,,,2.37E+11,1.099618888,,,,88203254000,,6.179999828,,,
Belgium,2002,,,,,2.57E+11,1.706884585,,,,18118954671,11486152063,6.909999847,,,
Belgium,2003,28.3,,,,3.17E+11,1.037982549,,,,34559267490,10699409812,7.679999828,,,
Belgium,2004,26.1,-0.077738516,,,3.69E+11,3.571204343,,,,44498165771,12289290919,7.360000134,,,
Belgium,2005,28,0.072796935,4.04,,3.86E+11,2.321737054,5.7,6.8,17.1,33662010794,8640514959,8.43999958,61.08547974,39.1,
Belgium,2006,27.8,-0.007142857,4.17,0.032178218,4.08E+11,2.552349944,5.6,6.7,17.1,58821552824,9137273954,8.25,61.65359116,41.4,0.058823529
Belgium,2007,26.3,-0.053956835,3.87,-0.071942446,4.70E+11,3.676881136,5.5,6.8,16.8,96551634531,6389429630,7.460000038,61.20013046,41.5,0.002415459
Belgium,2008,27.5,0.045627376,4.06,0.049095607,5.15E+11,0.446928735,5.7,7.3,17.5,1.90E+11,-6650395742,6.980000019,62.08623886,42.9,0.03373494
Belgium,2009,26.4,-0.04,3.91,-0.036945813,4.81E+11,-2.020743062,6.1,7.8,19.2,77354509260,5467491070,7.909999847,65.26769257,42,-0.020979021
Belgium,2010,26.6,0.007575758,3.92,0.002557545,4.81E+11,2.864292708,6,7.8,18.9,1.25E+11,5149628649,8.289999962,67.82901001,44.4,0.057142857
Belgium,2011,26.3,-0.011278195,3.86,-0.015306122,5.23E+11,1.694513899,6.2,7.7,19.1,1.64E+11,-5407721283,7.139999866,69.8425293,42.6,-0.040540541
Belgium,2012,26.5,0.007604563,3.95,0.023316062,4.96E+11,0.739217283,6.3,7.9,19.6,11810272331,-5232743024,7.539999962,71.1920166,43.9,0.030516432
Belgium,2013,25.9,-0.022641509,3.81,-0.035443038,5.22E+11,0.459242193,6.4,8,20.1,-29640924980,-272882804.5,8.430000305,72.11549377,42.7,-0.027334852
Belgium,2014,25.9,0,3.81,0,5.35E+11,1.578533143,6.3,8,19.8,-15205871358,795668538.6,8.520000458,72.99739838,43.8,0.025761124
Belgium,2015,26.2,0.011583012,3.83,0.005249344,4.62E+11,2.041459009,6.3,7.8,19.4,-19514245855,6502990903,8.479999542,74.55976105,42.7,-0.025114155
Belgium,2016,26.3,0.003816794,3.85,0.005221932,4.76E+11,1.266686409,6.2,7.6,19.4,57538351507,5685017502,7.829999924,75.89064026,45.6,0.067915691
Belgium,2017,26.1,-0.007604563,3.84,-0.002597403,5.03E+11,1.608086835,6.2,7.6,19.3,-37288840312,5262605954,7.090000153,79.66172791,45.9,0.006578947
Belgium,2018,25.7,-0.01532567,3.79,-0.013020833,5.44E+11,1.812295999,6.2,7.6,19.3,-42501691432,-1284418942,5.949999809,78.90116882,47.6,0.037037037
Belgium,2019,25.1,-0.023346304,3.61,-0.047493404,5.33E+11,1.743819525,6.2,7.6,19.4,-28965673808,3253032715,5.360000134,,47.5,-0.00210084
Belgium,2020,,,,,,,,,,,,6.010000229,,47.8,
Bulgaria,1995,,,,,18983303571,2.855051055,,,,90400000,274500000,13.71000004,,,
Bulgaria,1996,,,,,12294221473,5.13891551,,,,109000000,307700000,13.72000027,,,
Bulgaria,1997,,,,,11315986087,-14.19281481,,,,504800000,546700000,13.69999981,,,
Bulgaria,1998,,,,,15030695297,4.285281822,,,,537317256.2,-8020423.356,12.19999981,,,
Bulgaria,1999,,,,,13627323285,-8.281017414,,,,818788154.9,-766710358.9,14.10000038,,,
Bulgaria,2000,25,,,,13245833844,4.782043523,,,,1001503842,-669989777.2,16.21999931,,,
Bulgaria,2001,26,0.04,,,14183497963,3.817239752,,,,812942202,-1327927122,19.92000008,,,
Bulgaria,2002,26,0,,,16402846413,5.953034408,,,,904659791.1,-1209902300,18.11000061,,,
Bulgaria,2003,,,,,21144983552,5.151841011,,,,2096788700,-2061604765,13.72999954,,,
Bulgaria,2004,,,,,26157894737,6.441859463,,,,3072550962,-2896945991,12.03999996,,,
Bulgaria,2005,,,,,29869283400,7.153541381,4.1,4.9,10.6,4098122931,-4449983422,10.07999992,45.3680191,24.9,
Bulgaria,2006,31.2,,5.12,,34379808889,6.802167579,3.6,3.8,10.8,7874476255,-5844352050,8.949999809,47.15087128,25.3,0.016064257
Bulgaria,2007,35.3,0.131410256,6.98,0.36328125,44405101470,6.557081052,3.6,4,10.1,13875270457,-8945175667,6.880000114,50.58832932,26,0.027667984
Bulgaria,2008,35.9,0.016997167,6.48,-0.071633238,54438966420,6.085627607,4,4.4,10.7,10296720634,-10620241928,5.610000134,51.913311,27.1,0.042307692
Bulgaria,2009,33.4,-0.069637883,5.91,-0.087962963,52023504656,-3.374838329,4.1,4,12.9,3896664559,-3922786474,6.820000172,54.23545074,27.9,0.029520295
Bulgaria,2010,33.2,-0.005988024,5.86,-0.008460237,50381825504,0.55944649,3.6,4.4,12.9,1842900000,-1627160000,10.27999973,57.79518127,28,0.003584229
Bulgaria,2011,35,0.054216867,6.46,0.102389078,57386216850,2.354556923,3.4,4.2,12.2,2103810000,170110000,11.26000023,59.02869034,27.3,-0.025
Bulgaria,2012,33.6,-0.04,6.12,-0.052631579,54033250329,0.356586983,3.3,4.4,12.4,1788110000,-1886240000,12.27000046,61.35998154,26.9,-0.014652015
Bulgaria,2013,35.4,0.053571429,6.59,0.076797386,55615397666,0.325769436,3.7,4.5,13.5,1989040000,-385580000,12.93999958,64.19197845,29.4,0.092936803
Bulgaria,2014,35.4,0,6.81,0.033383915,56901994980,1.885464638,4.1,5.5,13.4,1093600000,-287460000,11.42000008,67.56356049,30.9,0.051020408
Bulgaria,2015,37,0.04519774,7.11,0.044052863,50647442757,3.989851714,3.9,5.5,13,2179500000,530370000,9.140000343,70.30153656,32.1,0.038834951
